bind
brush
carve
catch
chop
clap
clean
click
dig
dunk
fold
gesture
grab
grip
hug
knock
pat
peel
pinch
pluck
poke
polish
pull
punch
push
rub
scoop
scrape
scratch
scrub
shake
sign
slap
snatch
squeeze
stab
throw
whip
wipe
wrap
bounce
cycle
dance
flee
glide
hike
hop
jog
jump
kick
kneel
leap
limp
march
pedal
run
rush
skate
skip
slide
slip
sneak
sprint
squat
stand
step
stomp
stray
stride
stroll
strut
stumble
tiptoe
tramp
trample
trek
trip
wade
walk
wander
