SubjectNumber,SessionNumber,SOA,PrimeCondition,Accuracy,Mean RT,StDev RT
7,2,1200,first associate unrelated,0.98,604.20,111.17
7,2,1200,other associate unrelated,0.98,574.98,95.40
8,1,200,first associate related,1.00,525.40,96.19
8,1,200,other associate related,1.00,535.29,76.50
8,1,200,first associate unrelated,0.98,546.37,102.07
8,1,200,other associate unrelated,0.96,562.50,102.00
8,1,1200,first associate related,0.98,567.94,164.65
8,1,1200,other associate related,0.98,560.94,115.37
8,1,1200,first associate unrelated,1.00,565.36,125.61
8,1,1200,other associate unrelated,0.98,573.42,129.52
8,2,200,first associate related,0.98,809.10,236.53
8,2,200,other associate related,0.98,882.98,283.91
8,2,200,first associate unrelated,1.00,839.13,204.91
8,2,200,other associate unrelated,0.98,786.33,205.77
8,2,1200,first associate related,1.00,806.52,198.24
8,2,1200,other associate related,0.96,789.60,216.90
8,2,1200,first associate unrelated,1.00,805.60,261.90
8,2,1200,other associate unrelated,1.00,801.51,205.53
9,1,200,first associate related,0.98,646.62,197.73
9,1,200,other associate related,0.94,611.42,129.95
9,1,200,first associate unrelated,0.98,677.51,186.80
9,1,200,other associate unrelated,0.98,686.33,222.92
9,1,1200,first associate related,0.96,682.27,174.65
9,1,1200,other associate related,1.00,735.08,169.16
9,1,1200,first associate unrelated,0.94,769.94,262.73
9,1,1200,other associate unrelated,0.94,746.50,197.28
9,2,200,first associate related,0.98,560.76,119.93
9,2,200,other associate related,0.98,577.69,148.71
9,2,200,first associate unrelated,0.92,562.68,116.46
9,2,200,other associate unrelated,0.98,591.49,130.02
9,2,1200,first associate related,0.86,672.59,196.77
9,2,1200,other associate related,0.81,617.31,121.43
9,2,1200,first associate unrelated,0.96,630.58,109.28
9,2,1200,other associate unrelated,0.94,628.48,150.59
10,1,200,first associate related,0.96,663.88,164.76
10,1,200,other associate related,1.00,624.27,116.81
10,1,200,first associate unrelated,0.98,660.06,153.25
10,1,200,other associate unrelated,0.98,648.84,111.62
10,1,1200,first associate related,0.98,604.47,140.30
10,1,1200,other associate related,1.00,660.87,205.53
10,1,1200,first associate unrelated,0.98,645.14,156.06
10,1,1200,other associate unrelated,0.98,661.88,208.07
10,2,200,first associate related,1.00,571.10,125.83
10,2,200,other associate related,0.94,566.49,108.72
10,2,200,first associate unrelated,0.98,570.65,95.13
10,2,200,other associate unrelated,0.92,550.58,80.30
10,2,1200,first associate related,0.94,576.00,114.39
10,2,1200,other associate related,0.96,584.14,121.88
10,2,1200,first associate unrelated,0.90,606.26,127.07
10,2,1200,other associate unrelated,0.98,593.94,150.08
11,1,200,first associate related,0.98,766.61,290.68
11,1,200,other associate related,1.00,770.21,225.34
11,1,200,first associate unrelated,1.00,847.58,331.80
11,1,200,other associate unrelated,0.96,763.56,155.86
11,1,1200,first associate related,1.00,787.79,251.57
11,1,1200,other associate related,1.00,809.08,199.24
11,1,1200,first associate unrelated,1.00,797.31,190.66
11,1,1200,other associate unrelated,0.98,915.14,294.12
11,2,200,first associate related,0.98,662.71,243.44
11,2,200,other associate related,1.00,675.85,150.74
11,2,200,first associate unrelated,1.00,718.90,194.00
11,2,200,other associate unrelated,0.98,678.14,189.93
11,2,1200,first associate related,1.00,860.13,286.81
11,2,1200,other associate related,1.00,798.12,200.69
11,2,1200,first associate unrelated,0.98,832.18,246.74
11,2,1200,other associate unrelated,1.00,814.67,221.91
12,1,200,first associate related,0.94,658.59,196.17
12,1,200,other associate related,0.96,666.78,185.28
12,1,200,first associate unrelated,0.94,661.73,162.06
12,1,200,other associate unrelated,0.96,689.48,180.54
12,1,1200,first associate related,1.00,641.17,157.08
12,1,1200,other associate related,1.00,674.04,161.54
12,1,1200,first associate unrelated,0.96,723.74,253.18
12,1,1200,other associate unrelated,1.00,665.96,195.62
12,2,200,first associate related,1.00,633.00,197.35
12,2,200,other associate related,0.98,739.45,284.26
12,2,200,first associate unrelated,0.96,719.74,309.35
12,2,200,other associate unrelated,0.94,687.10,207.32
12,2,1200,first associate related,1.00,690.88,205.81
12,2,1200,other associate related,1.00,673.87,178.01
12,2,1200,first associate unrelated,1.00,704.37,178.72
12,2,1200,other associate unrelated,0.98,707.06,180.54
13,1,200,first associate related,0.96,790.90,243.77
13,1,200,other associate related,0.98,927.71,332.60
13,1,200,first associate unrelated,0.96,830.08,248.35
13,1,200,other associate unrelated,0.94,887.94,350.66
13,1,1200,first associate related,0.92,927.72,361.21
13,1,1200,other associate related,0.94,960.82,473.28
13,1,1200,first associate unrelated,0.98,1005.96,395.35
13,1,1200,other associate unrelated,0.96,979.56,405.26
13,2,200,first associate related,0.94,1045.10,390.89
13,2,200,other associate related,0.94,1059.20,381.57
13,2,200,first associate unrelated,0.96,954.44,319.03
13,2,200,other associate unrelated,0.94,976.31,382.58
13,2,1200,first associate related,0.98,1040.35,429.74
13,2,1200,other associate related,0.90,1100.81,426.49
13,2,1200,first associate unrelated,0.90,1012.38,335.47
13,2,1200,other associate unrelated,0.92,1053.73,351.89
14,1,200,first associate related,0.83,855.44,311.33
14,1,200,other associate related,0.85,1020.73,397.30
14,1,200,first associate unrelated,0.92,1112.81,395.04
14,1,200,other associate unrelated,1.00,972.06,375.48
14,1,1200,first associate related,1.00,673.48,192.62
14,1,1200,other associate related,1.00,603.42,193.85
14,1,1200,first associate unrelated,1.00,676.40,207.92
14,1,1200,other associate unrelated,0.98,660.51,166.70
14,2,200,first associate related,0.92,1026.56,354.44
14,2,200,other associate related,0.88,1155.67,400.57
14,2,200,first associate unrelated,0.81,1137.33,453.39
14,2,200,other associate unrelated,0.88,1158.33,502.21
14,2,1200,first associate related,0.98,707.41,186.13
14,2,1200,other associate related,0.96,743.68,137.19
14,2,1200,first associate unrelated,0.90,732.83,116.56
14,2,1200,other associate unrelated,0.96,754.18,215.28
15,1,200,first associate related,0.98,515.33,127.63
15,1,200,other associate related,1.00,541.96,136.03
15,1,200,first associate unrelated,0.90,558.89,147.60
15,1,200,other associate unrelated,0.96,556.64,140.24
15,1,1200,first associate related,0.94,591.78,147.36
15,1,1200,other associate related,1.00,575.29,114.99
15,1,1200,first associate unrelated,0.94,603.08,171.69
15,1,1200,other associate unrelated,0.90,589.36,107.51
15,2,200,first associate related,0.96,544.28,140.72
15,2,200,other associate related,0.96,551.44,156.86
15,2,200,first associate unrelated,0.94,588.18,214.17
15,2,200,other associate unrelated,0.94,557.61,173.66
15,2,1200,first associate related,0.96,557.28,102.83
15,2,1200,other associate related,0.96,618.49,147.35
15,2,1200,first associate unrelated,0.98,574.19,84.36
15,2,1200,other associate unrelated,0.96,690.90,404.10
16,1,200,first associate related,1.00,513.83,129.73
16,1,200,other associate related,0.98,553.22,146.85
16,1,200,first associate unrelated,0.96,551.56,116.04
16,1,200,other associate unrelated,0.92,530.56,104.17
16,1,1200,first associate related,1.00,602.90,254.40
16,1,1200,other associate related,0.96,606.52,354.21
16,1,1200,first associate unrelated,1.00,578.88,236.86
16,1,1200,other associate unrelated,0.98,659.88,250.77
16,2,200,first associate related,1.00,553.33,167.92
16,2,200,other associate related,1.00,533.63,168.96
16,2,200,first associate unrelated,0.98,554.12,125.38
16,2,200,other associate unrelated,0.98,569.18,173.14
16,2,1200,first associate related,1.00,516.23,89.87
16,2,1200,other associate related,1.00,581.21,194.44
16,2,1200,first associate unrelated,1.00,558.81,143.40
16,2,1200,other associate unrelated,0.94,551.18,121.27
17,1,200,first associate related,1.00,568.29,113.11
17,1,200,other associate related,1.00,570.50,150.15
17,1,200,first associate unrelated,1.00,607.38,125.78
17,1,200,other associate unrelated,0.98,585.38,108.69
17,1,1200,first associate related,1.00,624.27,128.81
17,1,1200,other associate related,1.00,632.52,132.43
17,1,1200,first associate unrelated,1.00,631.37,114.14
17,1,1200,other associate unrelated,1.00,636.33,110.48
17,2,200,first associate related,1.00,645.58,157.98
17,2,200,other associate related,1.00,608.25,118.24
